# det_alpha	det_beta	CI Coeffs
[2, 6]	[3, 4]	0.000000001055
[2, 6]	[0, 5]	0.000000000000
[2, 6]	[1, 5]	0.000000000000
[2, 6]	[2, 5]	0.000020279698
[2, 6]	[3, 5]	-0.000013718753
[2, 6]	[4, 5]	0.000054065819
[2, 6]	[0, 6]	0.000000000000
[2, 6]	[1, 6]	0.000000000000
[2, 6]	[2, 6]	-0.000355434957
[2, 6]	[3, 6]	-0.000007051527
[2, 6]	[4, 6]	0.000027512439
[2, 6]	[5, 6]	-0.000091816981
[2, 6]	[0, 7]	0.000000000000
[2, 6]	[1, 7]	0.000000000000
[2, 6]	[2, 7]	0.000019883150
[2, 6]	[3, 7]	-0.000013722098
[2, 6]	[4, 7]	0.000052938883
[2, 6]	[5, 7]	0.000000000052
[2, 6]	[6, 7]	0.000090021886
[2, 6]	[0, 8]	0.000092190344
[2, 6]	[1, 8]	-0.000010842673
[2, 6]	[2, 8]	0.000000000000
[2, 6]	[3, 8]	0.000000000000
[2, 6]	[4, 8]	0.000000000000
[2, 6]	[5, 8]	0.000000000000
[2, 6]	[6, 8]	0.000000000000
[2, 6]	[7, 8]	0.000000000000
[3, 6]	[0, 1]	0.000240293532
[3, 6]	[0, 2]	0.000000000000
[3, 6]	[1, 2]	0.000000000000
[3, 6]	[0, 3]	0.000000000000
[3, 6]	[1, 3]	0.000000000000
